Q1_GOING_OUT,Q2_GENDER,Q3_AGE,Q5_STATE_PROVINCE_COUNTY_ETC,Q6_Any_full_sized_candy_bar,Q6_Butterfinger,Q6_Candy_Corn,Q6_Chiclets,Q6_Dots,Q6_Fuzzy_Peaches,Q6_Good_N_Plenty,Q6_Gummy_Bears_straight_up,Q6_Healthy_Fruit,Q6_Heath_Bar,Q6_Hershey_s_Dark_Chocolate,Q6_Hershey_s_Milk_Chocolate,Q6_Hershey_s_Kisses,Q6_Jolly_Rancher_bad_flavor,Q6_Jolly_Ranchers_good_flavor,Q6_Junior_Mints,Q6_Kit_Kat,Q6_LaffyTaffy,Q6_LemonHeads,Q6_Licorice_not_black,Q6_Licorice_yes_black,Q6_Lollipops,Q6_Mike_and_Ike,Q6_Milk_Duds,Q6_Milky_Way,Q6_Regular_M_Ms,Q6_Peanut_M_M_s,Q6_Mint_Kisses,Q6_Mr_Goodbar,Q6_Nerds,Q6_Nestle_Crunch,Q6_Peeps,Q6_Pixy_Stix,Q6_Reese_s_Peanut_Butter_Cups,Q6_Reese_s_Pieces,Q6_Rolos,Q6_Skittles,Q6_Snickers,Q6_Sourpatch_Kids_i_e_abominations_of_nature,Q6_Starburst,Q6_Swedish_Fish,Q6_Tic_Tacs,Q6_Three_Musketeers,Q6_Tolberone_something_or_other,Q6_Trail_Mix,Q6_Twix,Q6_Whatchamacallit_Bars,Q6_York_Peppermint_Patties,Q7_JOY_OTHER,Q8_DESPAIR_OTHER,Q9_OTHER_COMMENTS
Yes,Male,40,Arizona,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,Whoppers malted balls,Blow pops,
No,Male,40,Arizona,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,,Bit of honey,
No,Female,46,Arizona,JOY,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,,JOY,MEH,Coffee - hot and black!,String cheese,"""Yes, someone once gave me string cheese on Halloween. For everything that's holy and sacred do not do this to a kid. It will break their heart and crush their soul. """
No,Male,53,Arizona,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,,,"""Things to add in the future:  Homemade candies (e.g., peanut brittle), mixed bags of random candies, Tootsie Pops (yeah, they're lollipops, but should be their own category)."""
No,Male,49,Arizona,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,MDMA,Shellfish,"""When coupled with my answer to Q7, all other candies move up a slot.  Except peanut things.  Those deserve to die."""
No,Female,29,Arizona,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,"""Mounds, vanilla tootsie rolls, peanut butter m&ms""",York peppermint patties,"""Joy or despair, if the candy's free, I will eat it!"""
Yes,Male,50,Arizona,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,Hot Tamales (the candy),Gumdrops,
No,Female,53,Arizona,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,"""Candy buttons, Mounds and Almond Joy, Candy  cigarettes, Krabby Patties, any old fashioned non-chocolate candy""",Unopened front doors.  Rude trick or treaters,
No,Male,32,Arizona,JOY,JOY,DESPAIR,MEH,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,,,
No,Male,63,Arizona,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,,JOY,JOY,DESPAIR,DESPAIR,JOY,"""Heath bars, vodka""",expired can goods ,
Yes,Male,30,Arizona,JOY,JOY,MEH,JOY,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,Cailler apricotine - these are apricot brandy filled chocolates from Switzerland ,Sugar free candy,"""Maybe a wiki link for each candy that is unfamiliar would help, or a pic of it. """
No,Male,36,Arizona,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,Legos,Business swag,
Yes,Female,43,Arizona,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,JOY,MEH,Toys,Bologna,
,Male,40,Arkansas,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,,,
Yes,Male,90,Arkansas,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,,,
No,Male,43,Arkansas,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,"""Everlasting GobStoppers, Atomic Fire Balls, unethical massages, Bit O' Honey""",alcoholic beverages,
No,Male,48,California,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,JOY,,,
No,Female,51,California,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,Charms Lollipops Tootsie Pops Dubble Bubble chewing gum. ,plastic toys carob ,I will be taking my kids trick or treating and I plan on pinching as much of their candy as I can before they lock it away. It's my right as a parent. 
No,Female,41,California,JOY,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,MEH,JOY,JOY,MEH,DESPAIR,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,,,"""A """"I don't know what that is"""" button would have been used if available"""
No,Male,36,California,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,,,I think that you’re mentioning of last years winner skewed my vote for kit-kat
No,Male,46,California,JOY,JOY,MEH,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,Almond Joy,,
No,Female,62,California,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,MEH,JOY,"""Cabernet, Merlot wines from Sonoma County. Free gasoline, a new car, perfectly seared ribeye steak with shrimp caesar salad, winning lotto ticket.""","""My ex-husband, Republicans, liars and thieves.""",
No,Male,40,California,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,Candy cigarettes,Raisinettes ,
Yes,Female,33,California,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,Whoppers! And Caramels!!!,"""Existential Dread, Moronic Orange """"World Leaders""""""",This is the greatest survey in the history of surveys. 
Yes,Male,50,California,JOY,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,"""Chunky, Marathon Bar, Caramello, Almond Joy, Mounds, Charleston Chew""",,
No,Female,52,California,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,Satellite wafers! zotz pop rocks,anything with nuts,
No,Male,39,California,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,boobs,teenagers that trick or treat but don't dress up,
No,Male,51,California,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,MEH,,,
Yes,Female,36,California,JOY,JOY,JOY,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,See's Candy milk chocolate caramels.  Caramel popcorn balls,Sour apple anything,
No,Male,47,California,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,Jelly Belly jelly beans!,Any kid who gets suckered into collecting money for UNICEF.,
No,Female,50,California,JOY,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,,,
No,Male,54,California,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,,,
No,Male,49,California,JOY,MEH,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,MEH,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,,,
No,Male,32,California,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,JOY,MEH,,,
No,Male,51,California,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,Stuffed animals,Ketchup packets,
